NOK_per_kWh,EUR_per_kWh,EXR,time_start,time_end,area
-0.00619,-0.00055,11.2535,2023-10-03T00:00:00+02:00,2023-10-03T01:00:00+02:00,NO1
-0.0108,-0.00096,11.2535,2023-10-03T01:00:00+02:00,2023-10-03T02:00:00+02:00,NO1
-0.01125,-0.001,11.2535,2023-10-03T02:00:00+02:00,2023-10-03T03:00:00+02:00,NO1
-0.01137,-0.00101,11.2535,2023-10-03T03:00:00+02:00,2023-10-03T04:00:00+02:00,NO1
-0.01125,-0.001,11.2535,2023-10-03T04:00:00+02:00,2023-10-03T05:00:00+02:00,NO1
-0.00799,-0.00071,11.2535,2023-10-03T05:00:00+02:00,2023-10-03T06:00:00+02:00,NO1
0.01958,0.00174,11.2535,2023-10-03T06:00:00+02:00,2023-10-03T07:00:00+02:00,NO1
0.04389,0.0039,11.2535,2023-10-03T07:00:00+02:00,2023-10-03T08:00:00+02:00,NO1
0.12019,0.01068,11.2535,2023-10-03T08:00:00+02:00,2023-10-03T09:00:00+02:00,NO1
0.03826,0.0034,11.2535,2023-10-03T09:00:00+02:00,2023-10-03T10:00:00+02:00,NO1
0.01744,0.00155,11.2535,2023-10-03T10:00:00+02:00,2023-10-03T11:00:00+02:00,NO1
0.02284,0.00203,11.2535,2023-10-03T11:00:00+02:00,2023-10-03T12:00:00+02:00,NO1
0.02262,0.00201,11.2535,2023-10-03T12:00:00+02:00,2023-10-03T13:00:00+02:00,NO1
0.01204,0.00107,11.2535,2023-10-03T13:00:00+02:00,2023-10-03T14:00:00+02:00,NO1
0.00079,7e-05,11.2535,2023-10-03T14:00:00+02:00,2023-10-03T15:00:00+02:00,NO1
-0.00101,-9e-05,11.2535,2023-10-03T15:00:00+02:00,2023-10-03T16:00:00+02:00,NO1
0.0,0.0,11.2535,2023-10-03T16:00:00+02:00,2023-10-03T17:00:00+02:00,NO1
0.04321,0.00384,11.2535,2023-10-03T17:00:00+02:00,2023-10-03T18:00:00+02:00,NO1
0.04231,0.00376,11.2535,2023-10-03T18:00:00+02:00,2023-10-03T19:00:00+02:00,NO1
0.04186,0.00372,11.2535,2023-10-03T19:00:00+02:00,2023-10-03T20:00:00+02:00,NO1
0.03894,0.00346,11.2535,2023-10-03T20:00:00+02:00,2023-10-03T21:00:00+02:00,NO1
0.02746,0.00244,11.2535,2023-10-03T21:00:00+02:00,2023-10-03T22:00:00+02:00,NO1
